Scenario Name,Date,Real GDP growth,Nominal GDP growth,Real disposable income growth,Nominal disposable income growth,Unemployment rate,CPI inflation rate,3-month Treasury rate,5-year Treasury yield,10-year Treasury yield,BBB corporate yield,Mortgage rate,Prime rate,Dow Jones Total Stock Market Index (Level),House Price Index (Level),Commercial Real Estate Price Index (Level),Market Volatility Index (Level)
Actual,2003 Q2,3.6,5.1,5.1,5.5,6.1,-0.7,1.0,2.6,3.8,5.3,5.5,4.2,9342.4,134.8,152.3,29.1
Actual,2003 Q3,6.8,9.3,7.2,10.0,6.1,3.0,0.9,3.1,4.4,5.6,6.0,4.0,9649.7,138.7,150.6,22.7
Actual,2003 Q4,4.7,7.3,1.1,3.1,5.8,1.5,0.9,3.2,4.4,5.4,5.9,4.0,10799.6,143.1,148.3,21.1
Actual,2004 Q1,2.3,5.2,1.8,5.0,5.7,3.4,0.9,3.0,4.1,5.0,5.6,4.0,11039.4,148.1,154.9,21.6
Actual,2004 Q2,3.2,6.5,4.2,7.1,5.6,3.2,1.1,3.7,4.7,5.7,6.1,4.0,11144.6,153.9,164.2,20.0
Actual,2004 Q3,3.8,6.5,2.9,4.9,5.4,2.6,1.5,3.5,4.4,5.4,5.9,4.4,10893.8,159.3,175.4,19.3
Actual,2004 Q4,4.2,7.4,5.2,8.8,5.4,4.4,2.0,3.5,4.3,5.1,5.7,4.9,11951.5,165.1,179.8,16.6
Actual,2005 Q1,4.5,7.9,-4.8,-2.5,5.3,2.0,2.5,3.9,4.4,5.2,5.8,5.4,11637.3,171.9,180.6,14.7
Actual,2005 Q2,2.0,5.0,3.9,6.6,5.1,2.7,2.9,3.9,4.2,5.4,5.7,5.9,11856.7,178.8,186.3,17.7
Actual,2005 Q3,3.2,7.0,1.7,6.1,5.0,6.2,3.4,4.0,4.3,5.4,5.8,6.4,12282.9,185.0,192.7,14.2
Actual,2005 Q4,2.3,5.6,3.4,6.7,5.0,3.8,3.8,4.4,4.6,5.8,6.2,7.0,12497.2,190.2,199.9,16.5
Actual,2006 Q1,5.5,8.5,8.3,10.6,4.7,2.1,4.4,4.6,4.7,5.8,6.2,7.4,13121.6,193.1,205.6,14.6
